"metro_area"	"living"	"poverty"
"Lincoln, NE"	33862.4	12875.2
"Omaha-Council Bluffs, NE"	35068.8	12875.2
"Carson City, NV"	31616	12875.2
"Las Vegas-Henderson-Paradise, NV"	33072	12875.2
"Reno, NV"	33404.8	12875.2
"Manchester-Nashua, NH"	35276.8	12875.2
"Atlantic City-Hammonton, NJ"	37460.8	12875.2
"Ocean City, NJ"	36857.6	12875.2
"Trenton, NJ"	38563.2	12875.2
"Vineland-Bridgeton, NJ"	37315.2	12875.2
"Albuquerque, NM"	32593.6	12875.2
"Farmington, NM"	33571.2	12875.2
"Las Cruces, NM"	31865.6	12875.2
"Santa Fe, NM"	35297.6	12875.2
"Albany-Schenectady-Troy, NY"	36441.6	12875.2
"Binghamton, NY"	33800	12875.2
"Buffalo-Cheektowaga-Niagara Falls, NY"	35464	12875.2
"Elmira, NY"	35256	12875.2
"Glens Falls, NY"	34465.6	12875.2
"Ithaca, NY"	39020.8	12875.2
"Kingston, NY"	37211.2	12875.2
"New York-Newark-Jersey City, NY"	47236.8	12875.2
"Rochester, NY"	34736	12875.2
"Syracuse, NY"	34028.8	12875.2
"Utica-Rome, NY"	33113.6	12875.2
"Watertown-Fort Drum, NY"	34673.6	12875.2
"Asheville, NC"	38417.6	12875.2
"Burlington, NC"	32593.6	12875.2
"Charlotte-Concord-Gastonia, NC"	36816	12875.2
"Durham-Chapel Hill, NC"	35838.4	12875.2
"Fayetteville, NC"	31012.8	12875.2
"Goldsboro, NC"	32406.4	12875.2
"Greensboro-High Point, NC"	33529.6	12875.2
"Greenville, NC"	33550.4	12875.2
"Hickory-Lenoir-Morganton, NC"	31428.8	12875.2
"Jacksonville, NC"	33404.8	12875.2
"New Bern, NC"	33592	12875.2
"Raleigh, NC"	38188.8	12875.2
"Rocky Mount, NC"	32052.8	12875.2
"Wilmington, NC"	33904	12875.2
"Winston-Salem, NC"	32177.6	12875.2
"Bismarck, ND"	32718.4	12875.2
"Fargo, ND"	30721.6	12875.2
"Grand Forks, ND"	31158.4	12875.2
"Akron, OH"	31345.6	12875.2
"Canton-Massillon, OH"	30326.4	12875.2
"Cincinnati, OH"	31782.4	12875.2
"Cleveland-Elyria, OH"	31824	12875.2
"Columbus, OH"	33467.2	12875.2
"Dayton, OH"	31304	12875.2
"Lima, OH"	30950.4	12875.2
"Mansfield, OH"	30326.4	12875.2
"Springfield, OH"	30742.4	12875.2
